DisplayName,Nationality,Gender
Charles Arnoldi,American,male
David Aronson,American,male
Irene Aronson,American,female
Jean Arp,French,male
Richard Artschwager,American,male
Ruth Asawa,American,female
Charles Robert Ashbee,British,male
Erik Gunnar Asplund,Swedish,male
Genevieve Asse,French,female
Alvar Aalto,Finnish,male
Aino Aalto,Finnish,female
Eero Aarnio,Finnish,male
Magdalena Abakanowicz,Polish,female
James Abbe,American,male
Berenice Abbott,American,female
Robert Abel,American,male
Raimund Abraham,American,male
Ivor Abrahams,British,male
Rodolfo Abularach,Guatemalan,male
Vito Acconci,American,male
